0,1
73 vs 1,0.43714991476185505
73 vs 2,0.4745822171195306
73 vs 3,0.5836490623804057
73 vs 4,0.5623421354764638
73 vs 5,0.3153040160502847
73 vs 6,0.43619296678998176
73 vs 7,0.45114810562571755
73 vs 8,0.5088723051409618
73 vs 9,0.4504273504273504
73 vs 10,0.42794645008575355
73 vs 11,0.37596632223497894
73 vs 12,0.3620444784623889
73 vs 13,0.49989794616660294
73 vs 14,0.6742441637964025
73 vs 15,0.3253221074116596
73 vs 16,0.3609093228496214
73 vs 17,0.31203597397627253
73 vs 18,0.6384998086490623
73 vs 19,0.6779181017986988
73 vs 20,0.5867202449292
73 vs 21,0.3700153080750096
73 vs 22,0.4377088914402347
73 vs 23,0.6228951396861846
73 vs 24,0.5470489433176
73 vs 25,0.3731789769103202
73 vs 26,0.5897244546498278
73 vs 27,0.4839201428753667
73 vs 28,0.6463133052685291
73 vs 29,0.6141535910192626
73 vs 30,0.4829761449164434
73 vs 31,0.6817770123740272
73 vs 32,0.34834162520729683
73 vs 33,0.2754135306374112
73 vs 34,0.4824765063571033
73 vs 35,0.43702640642939156
73 vs 36,0.5441382829442531
73 vs 37,0.38943742824339833
73 vs 38,0.5098992218395204
73 vs 39,0.45083788516624335
73 vs 40,0.5293589034882568
73 vs 41,0.5550133945656334
73 vs 42,0.529297842769956
73 vs 43,0.5958668197474167
73 vs 44,0.39912616405153717
73 vs 45,0.23437088063953737
73 vs 46,0.5053833397116979
73 vs 47,0.48559127439724453
73 vs 48,0.2377088914402347
73 vs 49,0.4309414466130884
73 vs 50,0.4554535017221585
73 vs 51,0.5116109429542265
73 vs 52,0.29328358208955224
73 vs 53,0.4844454881768314
73 vs 54,0.4831055881977744
73 vs 55,0.62696347323213
73 vs 56,0.2463092463092463
73 vs 57,0.3614172726113025
73 vs 58,0.5921527891677146
73 vs 59,0.4487179487179487
73 vs 60,0.6613024620487307
73 vs 61,0.6457374300657883
73 vs 62,0.2492282178849343
73 vs 63,0.5767189692562827
73 vs 64,0.6179380873410724
73 vs 65,0.4124122974869244
73 vs 66,0.21471169792065314
73 vs 67,0.45278734532465875
73 vs 68,0.36809825516293176
73 vs 69,0.40316366883531063
73 vs 70,0.5275141387081687
73 vs 71,0.6932708253603777
73 vs 72,0.341484883275928
73 vs 73,0.0
73 vs 74,0.5628205128205128
73 vs 75,0.537555810690139
73 vs 76,0.4497790766447483
73 vs 77,0.4761049067019216
73 vs 78,0.5571820385253221
73 vs 79,0.43707743334609006
73 vs 80,0.434564357698686
73 vs 81,0.47714631968363314
73 vs 82,0.38200025513458347
73 vs 83,0.4213164944508228
73 vs 84,0.2596039946786215
73 vs 85,0.5269741038397755
73 vs 86,0.32000255134583494
73 vs 87,0.490817989822965
73 vs 88,0.5077114427860696
73 vs 89,0.44934940681209334
73 vs 90,0.43201939022834546
73 vs 91,0.6636943487689756
73 vs 92,0.5827018752391887
73 vs 93,0.6324299249672385
73 vs 94,0.2640786452353616
73 vs 95,0.34806735553004203
73 vs 96,0.5211251435132032
73 vs 97,0.48344176553131774
73 vs 98,0.24632925117999743
73 vs 99,0.40695879576476585
73 vs 100,0.37820158466924636
73 vs 101,0.4315027426967725
73 vs 102,0.4046960709274142
73 vs 103,0.4798826380915934
73 vs 104,0.5955689126013972
73 vs 105,0.3750223242760556
73 vs 106,0.6037441000127566
73 vs 107,0.5029595611685164
73 vs 108,0.651535363475662
73 vs 109,0.7323765786452354
73 vs 110,0.3764957264957265
73 vs 111,0.5695975251945401
73 vs 112,0.5815091210613599
73 vs 113,0.33552384597160717
73 vs 114,0.36595228983288686
73 vs 115,0.41041181041181046
73 vs 116,0.3821023089679806
73 vs 117,0.5294148913551899
73 vs 118,0.537555810690139
73 vs 119,0.30116724071947953
73 vs 120,0.2218969256282689
73 vs 121,0.5168730937387653
73 vs 122,0.43828932261768083
73 vs 123,0.5498979461666029
73 vs 124,0.30429263936726625
73 vs 125,0.5131075392269422
73 vs 126,0.49505441752103185
73 vs 127,0.3928466641153208
73 vs 128,0.5437428243398393
73 vs 129,0.5823064166347749
73 vs 130,0.2858272738869754
73 vs 131,0.35799492565661717
73 vs 132,0.5267912573882723
73 vs 133,0.4094495471361143
73 vs 134,0.4048411787217758
73 vs 135,0.5885125653782369
73 vs 136,0.4787345324658758
73 vs 137,0.32856231662201807
73 vs 138,0.38622273249138916
73 vs 139,0.36192754177828806
73 vs 140,0.5767699961729812
73 vs 141,0.3829425135395284
73 vs 142,0.4708381171067738
73 vs 143,0.22686850647049653
73 vs 144,0.46587256027554536
73 vs 145,0.35871922439086623
73 vs 146,0.4637226970560304
73 vs 147,0.40582025768592933
73 vs 148,0.5394055364204617
73 vs 149,0.5461729812476082
73 vs 150,0.3413126674320704
73 vs 151,0.5331611174894757
73 vs 152,0.5674174912980884
73 vs 153,0.3865480290853425
73 vs 154,0.46748309733384363
73 vs 155,0.6615017859420845
73 vs 156,0.36988136241867586
73 vs 157,0.3504273504273504
73 vs 158,0.48086065399498235
73 vs 159,0.6048433048433048
73 vs 160,0.5549687460135222
73 vs 161,0.5043651207830312
73 vs 162,0.5539992345962496
73 vs 163,0.4124952162265595
73 vs 164,0.4769230769230769
73 vs 165,0.42377854318152824
73 vs 166,0.245452226049241
73 vs 167,0.4503444316877153
73 vs 168,0.6262023217247098
73 vs 169,0.4715843857634902
73 vs 170,0.5369690011481056
73 vs 171,0.46065612110388227
73 vs 172,0.2474231407067228
73 vs 173,0.4934494195688226
73 vs 174,0.44540119913254234
73 vs 175,0.5344176553131778
